rsi_min,rsi_max,entry_cutoff,risk_reward_ratio,volume_multiplier,trades,wins,losses,target_exits,stop_loss_exits,day_end_exits,win_rate,net_pnl,return_percent,profit_factor,max_drawdown,max_drawdown_percent,average_net_pnl,ending_capital
50,72,12:00,1.5,1.1,14,5,9,0,2,12,35.71,-1774.78,-1.7748,0.3082,2256.05,2.2561,-126.77,98225.22
50,72,12:00,1.5,1.2,12,3,9,0,2,10,25.0,-2192.09,-2.1921,0.1405,2344.94,2.3449,-182.67,97807.91
50,72,12:00,2.0,1.0,15,5,10,0,2,13,33.33,-1984.37,-1.9844,0.2849,2455.64,2.4556,-132.29,98015.63
50,72,12:00,2.0,1.1,14,5,9,0,2,12,35.71,-1774.78,-1.7748,0.3082,2256.05,2.2561,-126.77,98225.22
50,72,12:00,2.0,1.2,12,3,9,0,2,10,25.0,-2192.09,-2.1921,0.1405,2344.94,2.3449,-182.67,97807.91
50,72,12:00,2.5,1.0,15,5,10,0,2,13,33.33,-1984.37,-1.9844,0.2849,2455.64,2.4556,-132.29,98015.63
50,72,12:00,2.5,1.1,14,5,9,0,2,12,35.71,-1774.78,-1.7748,0.3082,2256.05,2.2561,-126.77,98225.22
50,72,12:00,2.5,1.2,12,3,9,0,2,10,25.0,-2192.09,-2.1921,0.1405,2344.94,2.3449,-182.67,97807.91
50,72,13:00,1.5,1.0,20,6,14,0,3,17,30.0,-2850.46,-2.8505,0.282,3400.69,3.4007,-142.52,97149.54
50,72,13:00,1.5,1.1,20,6,14,0,3,17,30.0,-2884.76,-2.8848,0.2796,3444.99,3.445,-144.24,97115.24
50,72,13:00,1.5,1.2,20,6,14,0,3,17,30.0,-2894.2,-2.8942,0.2765,3452.02,3.452,-144.71,97105.8
50,72,13:00,2.0,1.0,20,6,14,0,3,17,30.0,-2850.46,-2.8505,0.282,3400.69,3.4007,-142.52,97149.54
50,72,13:00,2.0,1.1,20,6,14,0,3,17,30.0,-2884.76,-2.8848,0.2796,3444.99,3.445,-144.24,97115.24
50,72,13:00,2.0,1.2,20,6,14,0,3,17,30.0,-2894.2,-2.8942,0.2765,3452.02,3.452,-144.71,97105.8
50,72,13:00,2.5,1.0,20,6,14,0,3,17,30.0,-2850.46,-2.8505,0.282,3400.69,3.4007,-142.52,97149.54
50,72,13:00,2.5,1.1,20,6,14,0,3,17,30.0,-2884.76,-2.8848,0.2796,3444.99,3.445,-144.24,97115.24
50,72,13:00,2.5,1.2,20,6,14,0,3,17,30.0,-2894.2,-2.8942,0.2765,3452.02,3.452,-144.71,97105.8
50,72,15:00,1.5,1.0,29,11,18,0,3,26,37.93,-2144.35,-2.1444,0.4949,3556.81,3.5568,-73.94,97855.65
50,72,15:00,1.5,1.1,29,11,18,0,3,26,37.93,-2243.48,-2.2435,0.4745,3590.46,3.5905,-77.36,97756.52
50,72,15:00,1.5,1.2,29,11,18,0,3,26,37.93,-2252.92,-2.2529,0.4717,3597.49,3.5975,-77.69,97747.08
50,72,15:00,2.0,1.0,29,11,18,0,3,26,37.93,-2144.35,-2.1444,0.4949,3556.81,3.5568,-73.94,97855.65
50,72,15:00,2.0,1.1,29,11,18,0,3,26,37.93,-2243.48,-2.2435,0.4745,3590.46,3.5905,-77.36,97756.52
50,72,15:00,2.0,1.2,29,11,18,0,3,26,37.93,-2252.92,-2.2529,0.4717,3597.49,3.5975,-77.69,97747.08
50,72,15:00,2.5,1.0,29,11,18,0,3,26,37.93,-2144.35,-2.1444,0.4949,3556.81,3.5568,-73.94,97855.65
50,72,15:00,2.5,1.1,29,11,18,0,3,26,37.93,-2243.48,-2.2435,0.4745,3590.46,3.5905,-77.36,97756.52
50,72,15:00,2.5,1.2,29,11,18,0,3,26,37.93,-2252.92,-2.2529,0.4717,3597.49,3.5975,-77.69,97747.08
52,68,11:00,1.5,1.0,2,1,1,0,0,2,50.0,14.31,0.0143,1.1995,71.73,0.0717,7.16,100014.31
52,68,11:00,1.5,1.1,2,1,1,0,0,2,50.0,14.31,0.0143,1.1995,71.73,0.0717,7.16,100014.31
52,68,11:00,1.5,1.2,2,1,1,0,0,2,50.0,14.31,0.0143,1.1995,71.73,0.0717,7.16,100014.31
52,68,11:00,2.0,1.0,2,1,1,0,0,2,50.0,14.31,0.0143,1.1995,71.73,0.0717,7.16,100014.31
52,68,11:00,2.0,1.1,2,1,1,0,0,2,50.0,14.31,0.0143,1.1995,71.73,0.0717,7.16,100014.31
52,68,11:00,2.0,1.2,2,1,1,0,0,2,50.0,14.31,0.0143,1.1995,71.73,0.0717,7.16,100014.31
52,68,11:00,2.5,1.0,2,1,1,0,0,2,50.0,14.31,0.0143,1.1995,71.73,0.0717,7.16,100014.31
52,68,11:00,2.5,1.1,2,1,1,0,0,2,50.0,14.31,0.0143,1.1995,71.73,0.0717,7.16,100014.31
52,68,11:00,2.5,1.2,2,1,1,0,0,2,50.0,14.31,0.0143,1.1995,71.73,0.0717,7.16,100014.31
