lookback_period,minimum_rsi,minimum_volume_ratio,stop_atr_multiplier,target_atr_multiplier,symbol,trades,win_rate,net_pnl,profit_factor
8,60.0,1.5,1.0,2.5,AXISBANK,26,42.31,-158.79,0.8463
8,60.0,1.5,1.0,2.5,ITC,59,11.86,-2696.85,0.1348
8,60.0,1.5,1.0,2.5,BHARTIARTL,26,15.38,-1093.66,0.1893
8,60.0,1.5,1.0,3.0,RELIANCE,38,28.95,-654.19,0.6065
8,60.0,1.5,1.0,3.0,TCS,34,26.47,-918.77,0.367
8,60.0,1.5,1.0,3.0,INFY,21,23.81,-724.55,0.346
8,60.0,1.5,1.0,3.0,HDFCBANK,31,16.13,-1224.73,0.2149
8,60.0,1.5,1.0,3.0,ICICIBANK,27,14.81,-1099.35,0.1911
8,60.0,1.5,1.0,3.0,SBIN,49,22.45,-1837.19,0.2591
8,60.0,1.5,1.0,3.0,LT,32,21.88,-992.59,0.3685
8,60.0,1.5,1.0,3.0,AXISBANK,26,38.46,-55.22,0.9479
8,60.0,1.5,1.0,3.0,ITC,59,6.78,-2906.46,0.1008
8,60.0,1.5,1.0,3.0,BHARTIARTL,26,15.38,-1058.04,0.2158
8,60.0,1.5,1.2,2.0,RELIANCE,38,31.58,-970.01,0.4484
8,60.0,1.5,1.2,2.0,TCS,34,26.47,-1221.97,0.2378
8,60.0,1.5,1.2,2.0,INFY,21,33.33,-627.31,0.4103
8,60.0,1.5,1.2,2.0,HDFCBANK,31,29.03,-1003.22,0.3072
8,60.0,1.5,1.2,2.0,ICICIBANK,27,18.52,-1238.56,0.1388
8,60.0,1.5,1.2,2.0,SBIN,49,26.53,-2041.06,0.2154
8,60.0,1.5,1.2,2.0,LT,32,25.0,-1225.09,0.2725
