lookback_period,minimum_rsi,minimum_volume_ratio,stop_atr_multiplier,target_atr_multiplier,symbols_tested,profitable_symbols,losing_symbols,breakeven_symbols,profitable_symbol_percent,total_trades,combined_win_rate,combined_net_pnl,average_pnl_per_symbol,portfolio_profit_factor,eligible_for_ranking
10,55.0,1.5,1.0,2.5,10,0,10,0,0.0,341,19.940733137829913,-12687.95,-1268.795,0.0,True
8,55.0,1.5,1.0,3.0,10,0,10,0,0.0,370,19.998243243243245,-12759.24,-1275.924,0.0,True
10,50.0,1.5,1.2,2.0,10,1,9,0,10.0,344,25.28924418604651,-12760.050000000003,-1276.0050000000003,0.00318261607291425,True
8,50.0,1.5,1.2,2.5,10,0,10,0,0.0,373,24.129276139410187,-12760.239999999998,-1276.024,0.0,True
8,50.0,1.5,1.2,3.0,10,0,10,0,0.0,373,21.445924932975867,-12784.67,-1278.467,0.0,True
10,50.0,1.5,1.0,2.0,10,0,10,0,0.0,344,22.675639534883715,-12890.099999999999,-1289.0099999999998,0.0,True
8,50.0,1.5,1.0,2.5,10,0,10,0,0.0,373,22.5186327077748,-12928.69,-1292.8690000000001,0.0,True
8,55.0,1.5,1.2,2.5,10,0,10,0,0.0,370,23.514891891891885,-12964.76,-1296.476,0.0,True
10,55.0,1.5,1.2,2.0,10,0,10,0,0.0,341,24.632551319648094,-12967.740000000002,-1296.7740000000001,0.0,True
8,55.0,1.5,1.2,3.0,10,0,10,0,0.0,370,20.809081081081082,-13003.15,-1300.315,0.0,True
10,55.0,1.5,1.0,2.0,10,0,10,0,0.0,341,22.28856304985337,-13066.659999999998,-1306.6659999999997,0.0,True
8,55.0,1.5,1.0,2.5,10,0,10,0,0.0,370,21.89154054054054,-13230.489999999998,-1323.0489999999998,0.0,True
8,50.0,1.5,1.2,2.0,10,0,10,0,0.0,373,26.80908847184987,-13294.159999999998,-1329.4159999999997,0.0,True
8,50.0,1.5,1.0,2.0,10,0,10,0,0.0,373,24.664450402144773,-13501.84,-1350.184,0.0,True
8,55.0,1.5,1.2,2.0,10,0,10,0,0.0,370,25.94505405405405,-13657.279999999999,-1365.7279999999998,0.0,True
8,55.0,1.5,1.0,2.0,10,0,10,0,0.0,370,24.054162162162164,-13809.84,-1380.984,0.0,True
15,60.0,1.0,1.2,2.0,10,0,10,0,0.0,405,27.159728395061723,-14426.900000000001,-1442.69,0.0,True
15,60.0,1.0,1.2,3.0,10,0,10,0,0.0,405,20.987925925925925,-14675.89,-1467.589,0.0,True
15,60.0,1.0,1.2,2.5,10,0,10,0,0.0,405,22.961604938271606,-14839.14,-1483.914,0.0,True
15,60.0,1.0,1.0,2.5,10,0,10,0,0.0,405,21.482172839506173,-15040.009999999998,-1504.0009999999997,0.0,True
15,50.0,1.0,1.2,2.0,10,0,10,0,0.0,424,26.65231132075472,-15292.150000000001,-1529.2150000000001,0.0,True
15,60.0,1.0,1.0,2.0,10,0,10,0,0.0,405,24.198345679012345,-15321.210000000001,-1532.121,0.0,True
15,55.0,1.0,1.2,2.0,10,0,10,0,0.0,422,26.305284360189574,-15475.04,-1547.5040000000001,0.0,True
15,50.0,1.0,1.2,3.0,10,0,10,0,0.0,424,20.75382075471698,-15576.82,-1557.682,0.0,True
15,55.0,1.0,1.2,3.0,10,0,10,0,0.0,422,20.378862559241707,-15675.27,-1567.527,0.0,True
15,50.0,1.0,1.2,2.5,10,0,10,0,0.0,424,22.64202830188679,-15770.7,-1577.0700000000002,0.0,True
15,50.0,1.0,1.0,2.5,10,0,10,0,0.0,424,21.225495283018873,-15778.859999999999,-1577.886,0.0,True
15,55.0,1.0,1.2,2.5,10,0,10,0,0.0,422,22.274099526066355,-15869.25,-1586.925,0.0,True
15,55.0,1.0,1.0,2.5,10,0,10,0,0.0,422,20.851682464454978,-15962.919999999998,-1596.292,0.0,True
15,60.0,1.0,1.0,3.0,10,0,10,0,0.0,405,17.531407407407407,-16009.86,-1600.986,0.0,True
15,50.0,1.0,1.0,2.0,10,0,10,0,0.0,424,23.821745283018867,-16059.68,-1605.968,0.0,True
15,55.0,1.0,1.0,2.0,10,0,10,0,0.0,422,23.459620853080573,-16268.449999999999,-1626.8449999999998,0.0,True
12,60.0,1.0,1.2,3.0,10,0,10,0,0.0,486,22.22421810699588,-16295.779999999997,-1629.5779999999997,0.0,True
12,60.0,1.0,1.2,2.0,10,0,10,0,0.0,486,27.777860082304528,-16670.99,-1667.0990000000002,0.0,True
12,60.0,1.0,1.2,2.5,10,0,10,0,0.0,486,24.07594650205761,-16738.58,-1673.8580000000002,0.0,True
15,50.0,1.0,1.0,3.0,10,0,10,0,0.0,424,17.452995283018865,-16823.4,-1682.3400000000001,0.0,True
15,55.0,1.0,1.0,3.0,10,0,10,0,0.0,422,17.062180094786726,-16915.81,-1691.5810000000001,0.0,True
12,60.0,1.0,1.0,2.5,10,0,10,0,0.0,486,22.016481481481478,-17395.54,-1739.554,0.0,True
12,50.0,1.0,1.2,3.0,10,0,10,0,0.0,513,21.638518518518516,-17782.16,-1778.216,0.0,True
10,60.0,1.0,1.2,3.0,10,0,10,0,0.0,528,21.779753787878786,-17786.64,-1778.664,0.0,True
12,55.0,1.0,1.2,3.0,10,0,10,0,0.0,511,21.331682974559683,-17863.829999999998,-1786.3829999999998,0.0,True
12,50.0,1.0,1.2,2.0,10,0,10,0,0.0,513,27.09534113060429,-17967.309999999998,-1796.7309999999998,0.0,True
12,60.0,1.0,1.0,2.0,10,0,10,0,0.0,486,24.280679012345676,-18081.09,-1808.109,0.0,True
12,60.0,1.0,1.0,3.0,10,0,10,0,0.0,486,18.725185185185182,-18084.39,-1808.4389999999999,0.0,True
12,55.0,1.0,1.2,2.0,10,0,10,0,0.0,511,26.8087084148728,-18155.14,-1815.514,0.0,True
10,60.0,1.0,1.2,2.0,10,0,10,0,0.0,528,27.651041666666664,-18212.96,-1821.2959999999998,0.0,True
12,50.0,1.0,1.2,2.5,10,0,10,0,0.0,513,23.392670565302147,-18244.850000000002,-1824.4850000000001,0.0,True
